review,label
Customer service was no help when the t-shirt broke.,0
The pair of jeans is slow and unresponsive.,0
The air fryer is too noisy and inefficient.,0
"The air fryer is disappointing, although it does look nice.",0
The smartphone doesn’t match the description.,0
The sneakers is too noisy and inefficient.,0
"The smartphone is great, but the packaging was damaged.",1
The laptop is intuitive and user-friendly.,1
"The cookbook performs well, but I wish the battery lasted longer.",1
"The tablet works great overall, though the setup was a bit tricky.",1
Customer service was no help when the novel broke.,0
This pair of jeans arrived late and was damaged.,0
The tablet arrived on time and performs perfectly.,1
The toaster stopped working after just a week.,0
This knife set made my life so much easier.,1
Battery life on this air fryer is terrible.,0
This knife set is overpriced for what it offers.,0
The blender is bulky and hard to store.,0
The sneakers overheats quickly and is unsafe.,0
The tablet has a weird smell and feels used.,0
"Love the cookbook, but the instructions could be clearer.",1
"The smartphone performs well, but I wish the battery lasted longer.",1
The t-shirt feels cheap and poorly made.,0
"Absolutely love this textbook, it exceeded my expectations.",1
The self-help book is too noisy and inefficient.,0
The knife set is lightweight and fits perfectly.,1
"The air fryer performs well, but I wish the battery lasted longer.",1
This jacket is not user-friendly at all.,0
"The coffee maker performs well, but I wish the battery lasted longer.",1
"I was skeptical at first, but this coffee maker turned out amazing.",1
I’ve already recommended this pair of jeans to my friends.,1
This t-shirt is overpriced for what it offers.,0
I regret buying this textbook.,0
"The novel is compact, efficient, and looks great in my kitchen.",1
The jacket has a weird smell and feels used.,0
"This t-shirt is fantastic, although it’s a bit pricey.",1
This cookbook is a game changer!,1
The cookbook feels cheap and poorly made.,0
This toaster made my life so much easier.,1
The textbook is too noisy and inefficient.,0
I’ve received so many compliments on this self-help book.,1
This pair of jeans arrived late and was damaged.,0
"This headphones is fantastic, although it’s a bit pricey.",1
"The dress is uncomfortable, but the color is nice.",0
Battery life on this blender is terrible.,0
"Not very effective, but the Bluetooth speaker is at least affordable.",0
Battery life on this pair of jeans is terrible.,0
This blender arrived late and was damaged.,0
This novel made my life so much easier.,1
The jacket is bulky and hard to store.,0
The cookbook is intuitive and user-friendly.,1
It’s hard to clean and maintain this sneakers.,0
The coffee maker arrived on time and performs perfectly.,1
The knife set overheats quickly and is unsafe.,0
The jacket stopped working after just a week.,0
Battery life on this smartphone is impressive.,1
"Not very effective, but the dress is at least affordable.",0
Customer service was no help when the air fryer broke.,0
The knife set is well-built and easy to use.,1
"The coffee maker performs well, but I wish the battery lasted longer.",1
The dress is too noisy and inefficient.,0
"The smartphone is disappointing, although it does look nice.",0
"The biography is disappointing, although it does look nice.",0
The smartphone is bulky and hard to store.,0
"Fantastic smartphone, especially for the price.",1
"Very disappointed with the cookbook, not worth the money.",0
"I had high hopes, but the novel let me down.",0
"This air fryer is fantastic, although it’s a bit pricey.",1
This self-help book is a game changer!,1
"This sneakers is fantastic, although it’s a bit pricey.",1
It’s hard to clean and maintain this headphones.,0
"Not very effective, but the headphones is at least affordable.",0
"The blender didn’t meet my expectations, but shipping was fast.",0
The dress arrived on time and performs perfectly.,1
Customer service was no help when the sneakers broke.,0
I use this pair of jeans every day and it never disappoints.,1
I use this knife set every day and it never disappoints.,1
The knife set arrived on time and performs perfectly.,1
"I was skeptical at first, but this dress turned out amazing.",1
The novel is too noisy and inefficient.,0
"Not very effective, but the self-help book is at least affordable.",0
This is the best toaster I've ever owned!,1
The tablet is too noisy and inefficient.,0
The jacket is bulky and hard to store.,0
"Fantastic self-help book, especially for the price.",1
"The jacket works great overall, though the setup was a bit tricky.",1
"The cookbook is uncomfortable, but the color is nice.",0
The air fryer is too noisy and inefficient.,0
"The laptop is compact, efficient, and looks great in my kitchen.",1
"Poor performance, though the air fryer design is sleek.",0
This sneakers is not user-friendly at all.,0
This textbook is overpriced for what it offers.,0
Great value for the price. The headphones is worth every penny.,1
I’ve already recommended this cookbook to my friends.,1
The cookbook feels cheap and poorly made.,0
